nombre_normalizado,veredicto,categoria,metodo,razon
ingenieria de ejecucion en mantenimiento industrial-pe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en marina mercante,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en marketing mc ventas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en marketing.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en marketing/finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en mecanica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en mecanica automotriz y autotronica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en mecanica automotriz y maquinaria pesada pe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en mecanica automotriz y maquinaria pesada-pe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en mecanica de procesos y mantenimiento industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en medio ambiente,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en metalurgia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en metalurgia extractiva,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en minas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en minas (p.e.),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en mineria y operaciones de planta,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en negocios internacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en pesca,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en pesca y acuicultura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en planificacion y desarrollo social,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en prevencion de riesgos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en prevencion de riesgos (completacion de estudios),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en prevencion de riesgos (plan de continuidad de estudios),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria de ejecucion en prevencion de riesgos ,continuidad",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en prevencion de riesgos pe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en prevencion de riesgos profesionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en prevencion de riesgos profesionales (continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en prevencion de riesgos profesionales(continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en prevencion de riesgos y medio ambiente,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en prevencion de riesgos-pe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en procesamiento de la informacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en procesos industriales y automatizacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en procesos quimicos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en produccion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en produccion agricola,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en produccion agropecuaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en proyectos de ingenieria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en proyectos estructurales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en quimica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en quimica (v) prosecucion de estudios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en quimica industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en quimica m/ control,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en quimica mencion control,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en quimica y medio ambiente-pe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en recursos renovables,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en redes computacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en seguridad privada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en seguridad privada mencion prevencion de riesgos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en sistemas computacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en software,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en sonido,INCLUIR,Producción musical y sonido,llm,"Se trata de ingeniería de sonido, área vinculada a la producción musical."
ingenieria de ejecucion en tecnologias de la informacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en telecomunicaciones,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en telematica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en telematica (pe),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en telematica continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en transporte maritimo y puertos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en turismo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en turismo y hoteleria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en viticultura y enologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion en web manager,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion estructuras,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion forestal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion geomensura concepcion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion geomensura ingenieria especial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion gestion de negocios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion gestion de turismo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial (pe),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial - continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial andina,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial en automatizacion y robotica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial en logistica y transporte,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial en prevencion de riesgos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial executive,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial ingenieria especial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial mencion gestion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial mencion mantenimiento,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial mencion mantenimiento o logistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial mencion mantenimiento y logistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial plan continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial plan especial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial profesional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion industrial-pe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion informatica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion mecanica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion mecanica (p.e.),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion mecanica a ingenieria civil mecanica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion mecanica de procesos y mantenimiento industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion mecanica ingenieria especial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion mecanica pe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion mecanica-pe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion medio ambiente y recursos naturales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion quimico mencion control,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion textil,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de ejecucion web manager,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de la madera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria de la madera, licenciatura en ciencias de la madera",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de minas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria de transporte,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria del paisaje,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion administracion empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion agricola,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion biomedica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion computacion e informatica reg. de titulo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion electricidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion electricidad autom. industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion electricidad automatica industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion electricidad elec y telec ctc,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria ejecucion electricidad elec/tel, sis/elec, aut/in",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion electricidad elect. y telecomunicacione,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion electricidad reg. de titulo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria ejecucion electricidad, electronica y telecomunicaciones",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria ejecucion electricidad, electronica y telecomunicaciones ctc",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria ejecucion electricidad, electronica/telecomunicaciones, sis/elec, aut/in",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion electronica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion (p.esp,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas (educ. a distancia),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas de turismo en la naturaleza,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria ejecucion en administracion de empresas deportivas, mencion en la naturaleza",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas mencion finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas mencion gestion evaluacion y proyectos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas mencion marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas para tecnicos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas para tecnicos en administracion de empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion de empresas(educ. a distancia),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion mencion adm. publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en administracion municipal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria ejecucion en administracion, m/ adm.publica",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria ejecucion en administracion, mencion adm.publica",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en agronomia (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en alimentos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en alimentos (c/e),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en alimentos (continuidad para tecnicos en alimentos),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en alimentos (continuidad para tecnicos),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en biotecnologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en comercio internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en comercio internacional (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en comercio internacional y administracion aduanera (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en computacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en computacion e informatica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en computacion e informatica (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en control e instrumentacion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en electricidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en electricidad (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en electronica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en electronica industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en geomensura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en gestion ambiental,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en gestion de empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en gestion de la calidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en gestion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en informatica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en informatica (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en informatica para tecnicos en computacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en informatica y multimedios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en mecanica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en mecanica (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en minas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en minas (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en pesca y acuicultura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en prevencion de riesgos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en prevencion de riesgos (continuidad para tecnicos en prevencion de riesgos),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en prevencion de riesgos y medio ambiente,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en prevencion de riesgos y medio ambiente (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en proyectos de ingenieria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en quimica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en sistemas computacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en software,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en transporte maritimo y puertos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion en transporte y transito,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion industrial (a),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion industrial (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion industrial mencion en prevencion de riesgos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion industrial mencion gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion industrial mencion gestion (p.e.),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion industrial mencion gestion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion industrial mencion mantenimiento,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion industrial san felipe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria ejecucion industrial, mencion gestion (plan especial)",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion informatica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion mecanica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria ejecucion mecanica (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria electrica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria electronica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en acuicultura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en acuicultura o ingenieria pesquera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en acuicultura o ingenieria pesquera (ingreso comun),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en acuicultura sostenible,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en acuicultura y medio ambiente,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en acuicultura y pesca,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en adm. emp. mencion rec. hum.,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion (menciones finanzas/rrhh/marketing),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion agroindustrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion comercial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion comercial (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion con mencion en finanzas y control presupuestario,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion con mencion en marketing y gestion comercial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresa (plan de continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas (continuidad para tecnicos de nivel superior),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas (continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas (plan de continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas (prosecucion),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas a distancia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas de turismo en la naturaleza,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas deportivas mencion en la naturaleza,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas e8,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas financieras,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas financieras pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas gestion recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion contabilidad y tributacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria en administracion de empresas mencion en marketing, finanzas o logistica",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion en recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion finanzas o marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion gestion de personas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion gestion negocio internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion logistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion marketing o finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion marketing y ventas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion negocios internacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion personal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion rr.hh.,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion rr.hh. plan continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas mencion rr.hh. san felipe,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas nivel profesional plan continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas online,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas para tecnicos y egresados,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas personal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas plan continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas plan especial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas plan especial continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas profesional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de empresas turisticas y hoteleras,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria en administracion de empresas turisticas, gastronomicas y hoteleras",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"ingenieria en administracion de empresas, mencion finanzas",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de negocios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de negocios y gestion comercial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de negocios y ventas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de operaciones,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de recursos humanos (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de recursos humanos pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de recursos humanos.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de rrhh,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de rrhh (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion de seguridad privada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion en empresas hoteleras,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion en gestion judicial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion general,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion general nivel profesional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
ingenieria en administracion general nivel profesional plan continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
