nombre_normalizado,veredicto,categoria,metodo,razon
administracion de operaciones,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de operaciones logisticas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de organizaciones de salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de organizaciones deportivas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de organizaciones sociales y comunitarias,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de personal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de procesos mineros,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de procesos productivos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos gastronomicos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos humanos pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos humanos.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos turisticos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos turisticos mencion ecoturismo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes computacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes computacionales pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes computacionales.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes y soporte computacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes y telecomunicaciones,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de seguridad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de seguridad privada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de servicios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de servicios gastronomicos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de servicios gastronomicos y hoteleros,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de sistemas logisticos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de ventas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de ventas mencion productos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de ventas mencion retail,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de ventas.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion empresa,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en alimentacion colectiva,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en comercio exterior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en comercio internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en ecoturismo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en empresas gastronomicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en hoteleria y servicios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en infraestructura y plataformas tecnologicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en produccion gastronomica mencion cocina internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en produccion gastronomica mencion pasteleria internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en turismo de naturaleza,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en turismo y hospitalidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion financiera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion financiera pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion financiera y comercial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion financiera.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion gastronomica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion gastronomica internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion gastronomica internacional y cultural,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera profesional mencion alimentos y bebidas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera profesional mencion recepcion y habitaciones,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera y gastronomica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion juridica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion juridica y gestion legal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion logistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion mencion gestion comercial o comercio exterior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion mencion gestion municipal o gestion empresarial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion mencion gestion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion plan comun (logistica),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
