nombre_normalizado,nombre_original,veredicto,categoria,metodo,razon
administracion de organizaciones sociales y comunitarias,ADMINISTRACION DE ORGANIZACIONES SOCIALES Y COMUNITARIAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de personal,ADMINISTRACION DE PERSONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de procesos mineros,ADMINISTRACION DE PROCESOS MINEROS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de procesos productivos,ADMINISTRACION DE PROCESOS PRODUCTIVOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos gastronomicos,ADMINISTRACION DE RECURSOS GASTRONOMICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos humanos,ADMINISTRACION DE RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos humanos pev,ADMINISTRACION DE RECURSOS HUMANOS PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos humanos.pev,ADMINISTRACION DE RECURSOS HUMANOS.PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos turisticos,ADMINISTRACION DE RECURSOS TURISTICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de recursos turisticos mencion ecoturismo,ADMINISTRACION DE RECURSOS TURISTICOS MENCION ECOTURISMO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes computacionales,ADMINISTRACION DE REDES COMPUTACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes computacionales pev,ADMINISTRACION DE REDES COMPUTACIONALES PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes computacionales.pev,ADMINISTRACION DE REDES COMPUTACIONALES.PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes y soporte computacional,ADMINISTRACION DE REDES Y SOPORTE COMPUTACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de redes y telecomunicaciones,ADMINISTRACION DE REDES Y TELECOMUNICACIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de salud,ADMINISTRACION DE SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de seguridad,ADMINISTRACION DE SEGURIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de seguridad privada,ADMINISTRACION DE SEGURIDAD PRIVADA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de servicios,ADMINISTRACION DE SERVICIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de servicios gastronomicos,ADMINISTRACION DE SERVICIOS GASTRONOMICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de servicios gastronomicos y hoteleros,ADMINISTRACION DE SERVICIOS GASTRONOMICOS Y HOTELEROS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de sistemas logisticos,ADMINISTRACION DE SISTEMAS LOGISTICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de ventas,ADMINISTRACION DE VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de ventas mencion productos,ADMINISTRACION DE VENTAS MENCION PRODUCTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de ventas mencion retail,ADMINISTRACION DE VENTAS MENCION RETAIL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de ventas.pev,ADMINISTRACION DE VENTAS.PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion empresa,ADMINISTRACION EMPRESA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en alimentacion colectiva,ADMINISTRACION EN ALIMENTACION COLECTIVA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en comercio exterior,ADMINISTRACION EN COMERCIO EXTERIOR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en comercio internacional,ADMINISTRACION EN COMERCIO INTERNACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en ecoturismo,ADMINISTRACION EN ECOTURISMO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en empresas gastronomicas,ADMINISTRACION EN EMPRESAS GASTRONOMICAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en hoteleria y servicios,ADMINISTRACION EN HOTELERIA Y SERVICIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en infraestructura y plataformas tecnologicas,ADMINISTRACION EN INFRAESTRUCTURA Y PLATAFORMAS TECNOLOGICAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en produccion gastronomica mencion cocina internacional,ADMINISTRACION EN PRODUCCION GASTRONOMICA MENCION COCINA INTERNACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en produccion gastronomica mencion pasteleria internacional,ADMINISTRACION EN PRODUCCION GASTRONOMICA MENCION PASTELERIA INTERNACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en recursos humanos,ADMINISTRACION EN RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en turismo de naturaleza,ADMINISTRACION EN TURISMO DE NATURALEZA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion en turismo y hospitalidad,ADMINISTRACION EN TURISMO Y HOSPITALIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion financiera,ADMINISTRACION FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion financiera pev,ADMINISTRACION FINANCIERA PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion financiera y comercial,ADMINISTRACION FINANCIERA Y COMERCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion financiera.pev,ADMINISTRACION FINANCIERA.PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion gastronomica,ADMINISTRACION GASTRONOMICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion gastronomica internacional,ADMINISTRACION GASTRONOMICA INTERNACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
